pid,saved
6848479689086979333,Y
6848415976350829829,Y
6848093753475910918,Y
6849506978801159430,Y
6849515654832344325,Y
6849517961628192006,Y
6849539817911389445,Y
6849859481786961158,Y
6849885670522047749,Y
6849919274635545862,Y
6850271963416513798,Y
6850275101406022917,Y
6850289904820260101,Y
6850294850646969605,Y
6850312394669853957,Y
6850684203281943814,Y
6850688640171904262,Y
6850689463098625286,Y
6850690524706393350,Y
6850691542659697925,Y
6850697151782161669,Y
6850695830131789062,Y
6850692638371220742,Y
6850731551739628805,Y
6850732456820231429,Y
6851050831899380997,Y
6851067883758308614,Y
6851084946979736838,Y
6851119894008810757,Y
6851113765048487173,Y
6851814571750067462,Y
6852142081083723013,Y
6852552884446350597,Y
6852559435806543109,Y
6852949217300712709,Y
6853302915189329157,Y
6853549233958685957,Y
6853549928224918790,Y
6854026472953335045,Y
6854077344097881350,Y
6854301846132002054,Y
6854623570060954885,Y
6854776008097172741,Y
6855174116153052421,Y
6856363695807679749,Y
6856885369485544709,Y
6857388677111352582,Y
