pid,saved
6845603235122662661,N
6842616792737762566,N
6773191167489166598,N
6771110259223170310,N
6770282552377756934,N
6850783600497937670,N
6851939580321533189,Y
6851957551593049349,Y
6851949112166845701,Y
6851948563602083077,Y
6851943724168023301,Y
6851941277244673285,Y
6851938251100523781,Y
6851937399740632325,Y
6851599364624764165,Y
6851514542116195590,Y
6851508131206352134,Y
6851505741019303174,Y
6851504299718020358,Y
6851504099914026246,Y
6851270596693593350,Y
6851196721247112454,Y
6850804695645080837,Y
6850802042223529222,Y
6850787967175298309,Y
6850780691148459270,Y
6850780093787147525,Y
6850455323749289222,Y
6850193980609629445,Y
6850064209342909702,Y
6850063368028425478,Y
6850056735357504774,Y
6850033497164369158,Y
6849996966466735365,Y
6849791597849136390,Y
6849790761014152453,Y
6849785382003952902,Y
6849784249772477701,Y
6849783305257192710,Y
6849782019937848582,Y
6849741218247642374,Y
6849726624233983237,Y
6849725770894527749,Y
6849686771576360197,Y
6849685051949485317,Y
6849644009988590853,Y
6849643626104950022,Y
6848909911967993093,Y
6848909109840841989,Y
6848907800085630214,Y
6848906684312587526,Y
6848620992995134725,Y
6848620812702928133,Y
6848620462780583173,Y
6847152912133672197,Y
6847150489285430534,Y
6846650418928405766,Y
6846303736571153670,Y
6846302211144813830,Y
6846042942797303045,Y
6845991838952803590,Y
6845989010574232837,Y
6845988250738380038,Y
6845985647845461253,Y
6845984951003811078,Y
6845981148997225734,Y
6845980182197718278,Y
6845978103269936389,Y
6845976873588116741,Y
6845969756168736005,Y
6845967987531353349,Y
6845967557095099654,Y
6845967048644791558,Y
6845965714692541702,Y
6845955004751187206,Y
6845907751844154629,Y
6845716003666676997,Y
6845684194232798470,Y
6845653328395898117,Y
6845652924215889157,Y
6845652090010782981,Y
6845651281235791110,Y
6845650620452572422,Y
6845649812344327430,Y
6845648846177996038,Y
6845647808956075270,Y
6845640711874907397,Y
6845636618800336134,Y
6845635392914459909,Y
6845635074830929157,Y
6845631059917360390,Y
6845628831370349829,Y
6845628018015194373,Y
6845627452996308230,Y
6845616063934205189,Y
6845612310556445958,Y
6845611059147984133,Y
6845610714980175109,Y
6845610392039722246,Y
6845608279880551685,Y
6845607676508949766,Y
6845602900199116037,Y
6845563483979926790,Y
6845562581424360710,Y
6845561092643523845,Y
6845301352076233990,Y
6845242328085531910,Y
6845204045376900358,Y
6844944617624898821,Y
6844943669766753541,Y
6844941796729048326,Y
6844921614866435334,Y
6844914321424665861,Y
6844914192768650502,Y
6844914108081474821,Y
6844914030021332229,Y
6844880166058069254,Y
6844856836336733446,Y
6844811770108857606,Y
6844605918286515461,Y
6844600745656913158,Y
6844600031799004422,Y
6844553334913912070,Y
6844553019342736646,Y
6844548417897729285,Y
6844532673067814149,Y
6844530431115660549,Y
6844527283374509318,Y
6844526920399473926,Y
6844526378537291013,Y
6844519184106343686,Y
6844515844987342086,Y
6844514808826531078,Y
6844513328555904261,Y
6844509883040009477,Y
6844506904668998918,Y
6844505280542199046,Y
6844501189678107910,Y
6844487120938093829,Y
6844441646222920966,Y
6844440990577593605,Y
6844215565884804357,Y
6844193920977587462,Y
6844156080591801605,Y
6844102073139694854,Y
6843691932611284229,Y
6843467834698386694,Y
6843447001330371846,Y
6843436211047091461,Y
6843434825198750981,Y
6843434294099168517,Y
6843433630199549190,Y
6843433333473479941,Y
6843432519581322502,Y
6843432115963481350,Y
6843431586709441798,Y
6843348196001844485,Y
6842735958861810949,Y
6842710669918276869,Y
6842706857459649797,Y
6842636104152157445,Y
6842634943227497733,Y
6842625880112581893,Y
6842625113834228997,Y
6842623277790219525,Y
6842622387125554437,Y
6842616525514411270,Y
6842615994251218181,Y
6842615640591781125,Y
6842614672517074181,Y
6842614251157327110,Y
6842612485237771526,Y
6842611815747292422,Y
6842564173805686022,Y
6842553511075450117,Y
6841562368405802246,Y
6841559869233892614,Y
6841558431439146245,Y
6840854560534236421,Y
6840853603478015237,Y
6840852972994415878,Y
6840776472320412934,Y
6840768181934525701,Y
6840765768750222597,Y
6840765308207172870,Y
6840764148112985349,Y
6840758539640720646,Y
6840757713828351238,Y
6840737677541788934,Y
6840074278755486982,Y
6840066092220665093,Y
6840065636501179654,Y
6840064641066929413,Y
6840050678971321605,Y
6840049895303384326,Y
6840048283264617733,Y
6840047533046189317,Y
6840046399845846278,Y
6840045592492641541,Y
6840045162232630533,Y
6840043489636420870,Y
6839674294021360902,Y
6839670566429936901,Y
6839397572239559941,Y
6839301787858619653,Y
6839295246031932678,Y
6839295094353317126,Y
6839294873577934085,Y
6839294263717629189,Y
6839293631598218502,Y
6839293425766927621,Y
6839292883313495302,Y
6839292300611439877,Y
6839291171748007173,Y
6839290798505315590,Y
6839288608474565893,Y
6839288066084179205,Y
6839286358666677509,Y
6839285685774519558,Y
6839285029827349765,Y
6839284657201106181,Y
6839283715919596805,Y
6839282785958612230,Y
6839281267951815942,Y
6839280266457009413,Y
6839279958838234373,Y
6839279498261712134,Y
6839017338562530566,Y
6838969794105003270,Y
6838945061099621637,Y
6838576423754534149,Y
6838573862662278406,Y
6838572180385598725,Y
6838542596210429190,Y
6838533815061843205,Y
6838499405503450374,Y
6838311784567278854,Y
6838301570501709062,Y
6838300288013602054,Y
6838264536395549957,Y
6837888615431949574,Y
6837431062889598214,Y
6837141658421775621,Y
6837137987843722501,Y
6836728116086443269,Y
6836704134536727814,Y
6836695971502591237,Y
6836679882525723909,Y
6836449560991239429,Y
6836395891855822085,Y
6836395578608340230,Y
6836395314308484357,Y
6836395025086041350,Y
6836394851022490885,Y
6836394611016092933,Y
6836394285240159494,Y
6836393187787951365,Y
6836374846650223877,Y
6836345413293968646,Y
6836343424455560453,Y
6836041455060929798,Y
6836039915315170566,Y
6835993158938152198,Y
6835990115836251398,Y
6835935275814882565,Y
6835699719373638918,Y
6835698944962579717,Y
6835577551897824518,Y
6834961268340722950,Y
6834822897547152645,Y
6834790941140749573,Y
6834781161969962246,Y
6834604571990478086,Y
6834603186934779141,Y
6834602619160300805,Y
6834602054757911814,Y
6834601648933965062,Y
6834601020551646470,Y
6834599831995010309,Y
6834599055918730502,Y
6834597284702113030,Y
6834596988613414149,Y
6834591942035148038,Y
6834590318399196421,Y
6834587255462563078,Y
6834582961938025733,Y
6834582541622627589,Y
6834581731371191558,Y
6834576333511609605,Y
6834550786882604294,Y
6834549922180713733,Y
6834542435713010950,Y
6834542051925708037,Y
6834541328643132678,Y
6834541147780664582,Y
6834540959032806662,Y
6834540476033469702,Y
6834539758681689349,Y
6834539284683328774,Y
6834538837163658502,Y
6834538493067267334,Y
6834538164972047621,Y
6834538013943401733,Y
6834536935315262725,Y
6834536490291203333,Y
6834536258765638917,Y
6834535711320919301,Y
6834534832211643654,Y
6834532857088691461,Y
6834532466527702278,Y
6834531195238337797,Y
6834530421947075845,Y
6834530014457793798,Y
6834528488490355974,Y
6834527391700782341,Y
6834526385550134533,Y
6834525472093736197,Y
6834524932756475142,Y
6834524218198134022,Y
6834523144565345541,Y
6834498061318835461,Y
6834497466092571909,Y
6834484982530985222,Y
6834471196256521478,Y
6834467217770286341,Y
6834438950413683973,Y
6834424529150954758,Y
6834189906328292613,Y
6834182879317216518,Y
6834177060135636230,Y
6834161859445230854,Y
6834074071202843910,Y
6834070108848098565,Y
6833775488113200389,Y
6833773523064851717,Y
