pid,saved
6853841794728283398,Y
6853441902553943302,Y
6853441347924413701,Y
6853243861725154565,Y
6853238096801156358,Y
6853237248436079877,Y
6853235004621720837,Y
6853233889184419077,Y
6853226613358808326,Y
6853224311965158661,Y
6852865374556343557,Y
6852864126058843397,Y
6852863551741218053,Y
6852859653836115205,Y
6852858486854864133,Y
6852856617373895941,Y
6852850082266582277,Y
6852848808502545669,Y
6852848472865918214,Y
6852848085132135686,Y
6852847769414012166,Y
6852451701027376389,Y
6852450578191158533,Y
6852388781509659909,Y
6852109350375279877,Y
6852075075940683014,Y
6851715385109089542,Y
6851006074787466502,Y
6850506271158832389,Y
6850505782040169733,Y
6850504785288858885,Y
6850273564373814533,Y
6850252232068222214,Y
6850250511841578246,Y
6850249033454505222,Y
6850247206562254085,Y
6850242988011031813,Y
6850242405807951109,Y
6850241834778725638,Y
6850241194811772165,Y
6850239874562264326,Y
6850237370541886726,Y
6850236838163139845,Y
6849919932134624518,Y
6848429328074542342,Y
6848428901090299142,Y
6846212187502005510,Y
6845683370458893573,Y
6845682523096337670,Y
6845681569026346245,Y
6845681410703904005,Y
6845680198420057349,Y
6845680068883205382,Y
6845679757191924998,Y
6845678854418287877,Y
6845675909018586373,Y
6845674591961058566,Y
6845672669875064070,Y
6845672314382683397,Y
6845671177726315781,Y
6845670305139019014,Y
6845669119963057413,Y
6845668669947661573,Y
6845667413233519877,Y
6845665827837021445,Y
6845401799717932294,Y
6845337263480589573,Y
6845336736990514438,Y
6845335440472509701,Y
6845333665682066693,Y
6845329433646140678,Y
6845328769780174085,Y
6845327702715632902,Y
6845326477899173126,Y
6845324417652804869,Y
6845323898091785478,Y
6845323221621820677,Y
6845322738345823494,Y
6845322178242612486,Y
6844906698717564166,Y
6844185667392638213,Y
6843966284409883910,Y
6843965825838238981,Y
6843965325688556805,Y
6843613018622921990,Y
6843612594675191045,Y
6843612232320896262,Y
6843611650277313798,Y
6843611216804351238,Y
6843610065405103366,Y
6843609745039822086,Y
6843606174357556486,Y
6843605760887328006,Y
6843605221088840965,Y
6843604846105349381,Y
6843604363823369477,Y
6843604036227288326,Y
6843603175178521861,Y
6843602679030222086,Y
6843602246907743494,Y
6843601899883613446,Y
6843601003669884166,Y
6843600650207628550,Y
6843180481576520966,Y
6843106926318914822,Y
6843101213836201222,Y
6843099560617839878,Y
6843098228292914437,Y
6843091990196833542,Y
6843091045517987077,Y
6843090532051258629,Y
6843089095946767622,Y
6842492802551647493,Y
6842099789329452294,Y
6842094914650623237,Y
6842093999713520902,Y
6842092705804340485,Y
6839523992953457926,Y
6839523806260759813,Y
6839522949762977030,Y
6839522663946308869,Y
6839522060805410053,Y
6839521302747958534,Y
6839520982365965573,Y
6839520384857951494,Y
6839519275661708549,Y
6839517797496753414,Y
6839517420709825798,Y
6839516630507212037,Y
6838726996118310150,Y
6838726615896165637,Y
6838420346635341062,Y
6838416673716833542,Y
6836148086780333317,Y
6835817454984301830,Y
6835807672361553157,Y
6835805537813204229,Y
6835385507124497669,Y
6834705721771265286,Y
6834254285224692998,Y
6834250826735832326,Y
6833820528554429702,Y
6833816114506517766,Y
6833815024419622150,Y
6832754164871744773,Y
6832663137846693125,Y
6827960784308538629,Y
6820185992373243142,Y
6820183548880882950,Y
6816419508136217861,Y
6814963683135884549,Y
6854338981186882821,Y
6854339795125144837,Y
6854340894968106246,Y
6854341867220258054,Y
6854342570328198405,Y
6854342321245310214,Y
6854343402503376134,Y
6854343668287999237,Y
6854659677297446150,Y
6854701871500709125,Y
6854704257644449030,Y
6855069309035711750,Y
6855837009353723141,Y
6855837343459331333,Y
6855837889389972741,Y
6855839111727615237,Y
6855839357106932998,Y
6855842454462074118,Y
6855842231664774405,Y
6855842997456899334,Y
6855843367167790341,Y
6855844236596694278,Y
6855844007524732166,Y
6855844767138450693,Y
6855847072302763270,Y
6855846600540097797,Y
6855848403394497797,Y
6855849058217626886,Y
6855852599053208838,Y
6855853220779085062,Y
6855854959980809477,Y
6855856089083284741,Y
6855856638541270278,Y
6855857602455178501,Y
6855858980913188101,Y
6855859496896580870,Y
6855860395836509445,Y
6855861459159698694,Y
6855862063445609734,Y
6855862339887975685,Y
6855863187384929541,Y
6855868281040030982,Y
6856063881236778246,Y
6856065711639416069,Y
6856065971854101765,Y
6856067521871744262,Y
6856068948610338054,Y
6856070045483732229,Y
6856071332031925510,Y
6856073094369512710,Y
6856074275707718917,Y
6856075471218642181,Y
6856077512154418438,Y
6856080021170228485,Y
6856080666761776389,Y
6856083037550038278,Y
6856083529906932997,Y
6856084238769474822,Y
6856084496102509829,Y
6856084842514320646,Y
6856085430685715717,Y
6856085907175427333,Y
6856088387691007237,Y
6856088863455153413,Y
6856089286094245125,Y
6856090057707752709,Y
6856093247492738309,Y
6856107307714268421,Y
6856107100775517445,Y
6856107852151442694,Y
6856107767430679814,Y
6856107698933484806,Y
6856108764307737862,Y
6856108684020387077,Y
6856108604836056325,Y
6856108539476315398,Y
6856108152719461638,Y
6856108109987958021,Y
6856108048650358022,Y
6856109047972662534,Y
6856108863041654021,Y
6856113665834241286,Y
6856231410781539590,Y
6856232001087737093,Y
6856233618038131974,Y
6856235136556584198,Y
6856484874329541894,Y
6856485638187928837,Y
6856486554026904837,Y
6856491756658199813,Y
6856493106678746374,Y
6856495526070865158,Y
6856495896952163590,Y
6856497007281065222,Y
6856498729592032518,Y
6856502565849484550,Y
6856534969544674566,Y
6856535966061186310,Y
6856537627873643782,Y
6856538818208664838,Y
6856539179355016453,Y
6856539636869647622,Y
6856541318341086470,Y
6856542477793447174,Y
6856581214111796486,Y
6856598938523307269,Y
6856942889180728582,Y
6856944269421284613,Y
6856945734466440453,Y
6856946084053404934,Y
6856947739960364293,Y
