pid,saved
6851475245635751173,Y
6851363670270741766,Y
6851206079800560902,Y
6851198959440989445,Y
6851196482717076741,Y
6851171741906078981,Y
6851165067367468293,Y
6851071661777685765,Y
6848120107328179462,Y
6847002192419802373,Y
6846038757058055430,Y
6846037824983125253,Y
6845672350977920261,Y
6845476789964295430,Y
6844926053161602310,Y
6844530415038942470,Y
6844068341443824902,Y
6843725371804847365,Y
6843081993874328838,Y
6843040273539288325,Y
6843024881815129349,Y
6843005581993823493,Y
6843000518881725702,Y
6842235124042550534,Y
6841625012915440901,Y
6838892068979346694,Y
6838433150847274245,Y
6838424819696995589,Y
6837783940888071430,Y
6834422950821743877,Y
6831224865203162374,Y
6852597487857863941,Y
6853126058988850438,Y
6853302794842164486,Y
6854051921423011078,Y
6854437360663317766,Y
6854803139363671302,Y
6854805740834589958,Y
6854810532076162310,Y
6855105819231456517,Y
6855107715136523526,Y
6855522576618360069,Y
6855601352496696581,Y
6855901219353791750,Y
6855904949453327622,Y
