pid,saved
6847019534486867205,Y
6845920455111478534,Y
6845113846181530885,Y
6844828930042498310,Y
6844378103343598854,Y
6843165559438298374,Y
6842503545393089798,Y
6841923917976751366,Y
6841771347429887238,Y
6840730552501357829,Y
6840655651857845510,Y
6839923655443582213,Y
6839234156443094278,Y
6838117556323126533,Y
6837369431232941318,Y
6836814361814781190,Y
6836623684808035589,Y
6835528611563441414,Y
6834733733543677189,Y
6834067924680969478,Y
6833487745923484933,Y
6832932196219636998,Y
6832243210358721797,Y
6831491637756169477,Y
6830345379985362181,Y
6830006190228000006,Y
6829561927602130182,Y
6828901691115523333,Y
6828071143077989637,Y
6827748273768451333,Y
6827155830069120261,Y
6827153426112105734,Y
6827125171212537093,Y
6827098380192238854,Y
6827026512546434310,Y
6827023820390501638,Y
6826421723810811142,Y
6826385989385194757,Y
6825158039910337797,Y
6824828009481047301,Y
6824576680649051397,Y
6824548087827123462,Y
6824341625779653893,Y
6823837547689463045,Y
6822643977175534853,Y
6822619113383415045,Y
6822571708222835974,Y
6822318400832916741,Y
6822288982139735302,Y
6822274280731004165,Y
6821866979582856454,Y
6821128062420192517,Y
6821065398977334534,Y
6820028932822289670,Y
6818882398491577606,Y
6818878731944217861,Y
6818600763225328902,Y
6817499442929863942,Y
6816799357841526021,Y
6816000466833509638,Y
6814817793565838598,Y
6813357090271153413,Y
6812584404825672966,Y
6810036056247913734,Y
6810026445218368773,Y
6810015246875413765,Y
6807090769632054534,Y
6807081530100354310,Y
6804493862829051141,Y
6804463881558215941,Y
6804145957081484549,Y
6804109409837387014,Y
6804103829311802629,Y
6804092430921501958,Y
6801878293894171909,Y
6801875615445175557,Y
6801872034382040325,Y
6798913158078549253,Y
6791434571092118790,Y
6791426371160673542,Y
6791421888657755397,Y
6786270663255526662,Y
6783322572323917061,Y
6741390390793981190,Y
6741390044768013574,Y
6847700516600827142,Y
6848525322204237061,Y
6849607292686585093,Y
6850369570465697029,Y
6851101173664025862,Y
6852232071054707973,Y
6852991708616068357,Y
6853733837680200966,Y
6854937667726085381,Y
6854957265473047813,Y
6855786223789690118,Y
6856307959786392838,Y
6857371033838701829,Y
6858211696050228486,Y
6859042767461534982,Y
