pid,saved
6854030687855545605,Y
6854018631391595781,Y
6854010734095944966,Y
6853983555492629765,Y
6853953999377419525,Y
6853942505931541765,Y
6853936977683746054,Y
6853926131486313734,Y
6853919823701855493,Y
6853915039108222214,Y
6851782672486845702,Y
6851782643286035717,Y
6851782608448261382,Y
6851782578609933573,Y
6851782519419964677,Y
6851782405112499461,Y
6851782305695010053,Y
6851752528049081605,Y
6851722058435464454,Y
6851714722991983877,Y
6849220189628779781,Y
6849219890390240518,Y
6849219274662219014,Y
6849218635169271045,Y
6849204616312147205,Y
6849203152802172166,Y
6849167446901820678,Y
6849158059378412806,Y
6849153237912718598,Y
6849149155449801990,Y
6847404362428386566,Y
6846995485991931142,Y
6846985808755346694,Y
6846963736175971589,Y
6846941051702283525,Y
6846916242134043909,Y
6846888606854810886,Y
6846888004628335877,Y
6846860274587192581,Y
6846855993943461126,Y
6845057484722425094,Y
6845022479073676550,Y
6845013157132373253,Y
6845004135314492677,Y
6845001118611672326,Y
6844995511880027398,Y
6844992226439810310,Y
6844985134928678149,Y
6844977010977049862,Y
6844972740361981189,Y
6843621520854633734,Y
6843616309381582086,Y
6843607760223931654,Y
6843604086613609733,Y
6843587150869466373,Y
6843568671864917253,Y
6843561383859145990,Y
6843488941887393029,Y
6843486098677615877,Y
6843481318957829382,Y
6841476431944420613,Y
6841475861401652485,Y
6841440678489099526,Y
6841423119043841285,Y
6841410652238630149,Y
6841393214407183621,Y
6841349531896958214,Y
6841344503559867654,Y
6841339955344723206,Y
6839602512425733381,Y
6839534861359828230,Y
6839524253679832325,Y
6839515488691801350,Y
6839509570365263109,Y
6839492064095259910,Y
6839488473011916037,Y
6839476986969099525,Y
6839468784231894277,Y
6839464569719508229,Y
6837584432489106694,Y
6837572064895896837,Y
6837565307725303046,Y
6837557946923093253,Y
6837551468350901509,Y
6837539626194865413,Y
6837528480884772101,Y
6837514792857636102,Y
6837509953779944710,Y
6837506305972849926,Y
6835847451631455494,Y
6835375097306565894,Y
6835365535505583366,Y
6835360095493278981,Y
6835353556275481861,Y
6835338230011809029,Y
6835328218975718661,Y
6835323260012350725,Y
6835319923166809349,Y
6835312932478323973,Y
6833567453499395333,Y
6833562114213317894,Y
6833550835344051461,Y
6833542207920803077,Y
6833535449487772933,Y
6833521569738820870,Y
6833518459108740357,Y
6833512414676405510,Y
6833505665823034629,Y
