pid,saved
6847622376268532997,Y
6846524211096308997,Y
6846381448535035141,Y
6845440481334283526,Y
6843249961082146053,Y
6842701549945244933,Y
6842451550946774278,Y
6842449228522900741,Y
6840855586116996357,Y
6840660803272625413,Y
6839403755759308037,Y
6839345052121140486,Y
6839060054835088646,Y
6839059646821453062,Y
6839055825336651013,Y
6837970723068218629,Y
6837664035379383558,Y
6837656053946027270,Y
6837632755262590214,Y
6836337463577906437,Y
6835615759977155845,Y
6835066397568126213,Y
6834279625342962949,Y
6834278639681408262,Y
6834096516504833285,Y
6833742760881720582,Y
6833742009958747398,Y
6833740415481548037,Y
6833521648705096966,Y
6833520121080761605,Y
6833195921354804486,Y
6832430380847549702,Y
6832430298454641926,Y
6828758700266769670,Y
6828681053381692678,Y
6826866697002044678,Y
6823849342227533061,Y
6822803925716995334,Y
6822803803595656453,Y
6819035663380303109,Y
6816412948928482565,Y
6816410464394792197,Y
6816409454024723718,Y
6816407980024564997,Y
6814555886221102342,Y
6813832954578472198,Y
6812292919303671046,Y
6812290246877744389,Y
6812282092987157765,Y
6812278958910999814,Y
6812277144421436677,Y
6810844393201880326,Y
6810520741910564101,Y
6810518784068062469,Y
6810516908308270341,Y
6810515806925933829,Y
6810514857180417285,Y
6810513529750293765,Y
6808976952435723526,Y
6808924166822153477,Y
6808923054421380358,Y
6808917710634831110,Y
6808126844248788230,Y
6807459738385763590,Y
6807458006503132421,Y
6807455888593521925,Y
6807454034258152709,Y
6807452821701627142,Y
6806423326005808389,Y
6806421657922702597,Y
6804939458589314310,Y
6804937310048636166,Y
6804936158670343429,Y
6804575285443366150,Y
6804087024052669701,Y
6802348896258510086,Y
6802326233473355013,Y
6802324997089004806,Y
6802322888742423813,Y
6802320505115380998,Y
6802318216417840389,Y
6801605057784696069,Y
6801603496434044165,Y
6801602135248194821,Y
6801600345752571142,Y
6801599163579583749,Y
6801596461948701958,Y
6799742844367015173,Y
6799742477868797190,Y
6799681820280507654,Y
6799006591615077638,Y
6799003816051084549,Y
6798991268870442246,Y
6798989465198152966,Y
6798988316642430213,Y
6798846000367734022,Y
6798584058717703430,Y
6797203696842231046,Y
6797201698843610374,Y
6796791076997876998,Y
6796369623458663685,Y
6796366360906599685,Y
6796361164969217285,Y
6794826863010237702,Y
6794822399209524485,Y
6794818657600998662,Y
6794815851829775622,Y
6793777155177188613,Y
6793061257260862725,Y
6793056655178435846,Y
6793055399017811206,Y
6791995750487166214,Y
6791260537436048646,Y
6791256980263619845,Y
6791244254325869830,Y
6790857106502307077,Y
6790855792695332101,Y
6790853571098266885,Y
6790850578156162310,Y
6790395687264701702,Y
6790392805358357765,Y
6790390589784460549,Y
6788641991711296774,Y
6788638905483676934,Y
6788633142103248134,Y
6788631872244026630,Y
6788212990845013253,Y
6787160742572330246,Y
6786330051488009478,Y
6786284583005506822,Y
6786069732715007237,Y
6786057625495735557,Y
6786055884205214981,Y
6786041869382978821,Y
6785293290389605637,Y
6784763699249827078,Y
6783762921731149061,Y
6783759452723072261,Y
6783687725099863302,Y
6781965776715812102,Y
6781955666442456326,Y
6781917865156087046,Y
6781916842656058629,Y
6780850712462085382,Y
6780845538775420165,Y
6780844798115908869,Y
6780843134613032198,Y
6780841936170339590,Y
6778790241609256198,Y
6778530397568470278,Y
6778528610815839493,Y
6777912373584940293,Y
6777489550521552133,Y
6776408723557600517,Y
6776355698075913478,Y
6776352423775587589,Y
6776351282807590149,Y
6776350131412356357,Y
6776343512750296326,Y
6776342060589911302,Y
6776038660937714950,Y
6776031299686714630,Y
6776026536706395397,Y
6774477830450449670,Y
6774477281214680325,Y
6774476856952376581,Y
6774476285822520582,Y
6774166967554280710,Y
6774141198677462277,Y
6773007088105934086,Y
6773006228168740102,Y
6773004122045140229,Y
6773002291864685829,Y
6771550368091344134,Y
6770506167677373701,Y
6770403167084629254,Y
6770400143159151878,Y
6770395491856387333,Y
6770391299402042630,Y
6770390111227104517,Y
6770386605589941510,Y
6768952955493272837,Y
6768951310004882693,Y
6768949343639653638,Y
6768226971789921542,Y
6768225600713788677,Y
6768224168904330501,Y
6768222717880569093,Y
6768214260259572997,Y
6768212654449298693,Y
6767458144323980549,Y
6767457537462684934,Y
6767074053472685317,Y
6766349325791481094,Y
6766345035941186822,Y
6765550472725024006,Y
6765546523645234437,Y
6764489102487260422,Y
6763304456302906629,Y
6763302942092037382,Y
6763297182419471621,Y
6763295298023460101,Y
6763292195660320005,Y
6761926567544229125,Y
6761867403790994693,Y
6761084385304251653,Y
6761077805657640198,Y
6761076621924470022,Y
6761074718528277766,Y
6759948948468731142,Y
6759947984915516678,Y
6759945636243574022,Y
6759945150195158278,Y
6759938374640897285,Y
6757843873189481733,Y
6757843004330986758,Y
6757595320999300357,Y
6757107074133445894,Y
6757105545284553990,Y
6757104378915654917,Y
6755808287939153157,Y
6755792054015626501,Y
6755787229903277317,Y
6754888952697638150,Y
6754865014575762694,Y
6754862967973481734,Y
6754862676205178118,Y
6754853036402773253,Y
6754114194578115846,Y
6753333109741096198,Y
6753331048056098053,Y
6753329356245961989,Y
6752359121497951494,Y
6752357136522644741,Y
6752355668218383621,Y
6751172005455777030,Y
6751169663486446854,Y
6751166893714853125,Y
6751163795743198469,Y
6751161765473553670,Y
6751156391135694086,Y
6750735739316686086,Y
6750734299785448710,Y
6750733404838333701,Y
6750732475372195077,Y
6749780856426056966,Y
6749779887239974149,Y
6749779058835328262,Y
6749777159876791557,Y
6749267813300456709,Y
6749266511858306310,Y
6749262150608375045,Y
6747805808341372165,Y
6747475806672473349,Y
6747474568010583302,Y
6747472998300749061,Y
6747470206265871621,Y
6747107341193268486,Y
6747104764078624005,Y
6747102491529252101,Y
