pid,saved
6847973316905422085,N
6847596659128470790,N
6847494531517058310,N
6847178669228608774,N
6848363342910852357,N
6848645974491974918,N
6848988816850619653,N
6849347069761686790,N
6849373952427478278,N
6849409735008013573,N
6849429310252600582,N
6849445368334142726,N
6849462191096122629,N
6849845001795489029,N
6850450190873152773,N
6850587691910728965,N
6850866262042496261,N
6851206254027689221,N
6851205692301298949,N
6851214826681732358,N
6851222971709672709,N
6851294400480431365,Y
6851266561706052869,Y
6851265229418958085,Y
6851264353828719878,Y
6851252543381589253,Y
6851178212286909702,Y
6850885361682418950,Y
6850865753764269318,Y
6850814364090453253,Y
6850502982493031686,Y
6850458472014695685,Y
6850458183945800965,Y
6850457835185196294,Y
6850457379146829062,Y
6850455953645522182,Y
6850413548313562373,Y
6850413087028186373,Y
6850412508935736582,Y
6850412078436535557,Y
6850408577014729989,Y
6850408071961824517,Y
6850407553151536390,Y
6850219698802543878,Y
6850218990715866373,Y
6850218529032047878,Y
6850218016370707717,Y
6850170254992166149,Y
6850169805874482438,Y
6850169244978564358,Y
6850165859013594374,Y
6850164299151772934,Y
6850048719610514694,Y
6849830842152291589,Y
6849829290318630149,Y
6849828689371286789,Y
6849828278237220102,Y
6849822620771175685,Y
6849805474854964486,Y
6849800926790798597,Y
6849726928518188294,Y
6849452737655082245,Y
6849452283701251334,Y
6849451882646211845,Y
6849451045899226373,Y
6849450468666526981,Y
6849449940393938182,Y
6849449170021911814,Y
6849448504641817861,Y
6849448084317949189,Y
6849435069648604422,Y
6849433487276051718,Y
6849432378406931718,Y
6849431334574640390,Y
6849411370518187269,Y
6849407850767338758,Y
6849403361049988358,Y
6849402981398449413,Y
6849401382794054918,Y
6849400362202451205,Y
6849399547769163013,Y
6849398913191972102,Y
6849397931544464646,Y
6849397599313677573,Y
6849396696946871558,Y
6849387518815767814,Y
6849384316766670086,Y
6849381504649350406,Y
6849381045402455302,Y
6849380451065318662,Y
6849355828709854470,Y
6849340256664243462,Y
6849339209191345414,Y
6849033879123168517,Y
6848948590803471621,Y
6848921485428493574,Y
6848920907797253382,Y
6848917840112700678,Y
6848689997105663237,Y
6848668951782722821,Y
6848667736738909446,Y
6848647057230548229,Y
6848604154496126213,Y
6848603181077843205,Y
6848568741974772997,Y
6848568213979073797,Y
6848567685182262534,Y
6848559690847210757,Y
6848520880960687366,Y
6848518200963927301,Y
6848364708920167686,Y
6848348022124940550,Y
6848344899020999942,Y
6848342227744247045,Y
6848341618186079494,Y
6848339871803657477,Y
6848337413140417798,Y
6848305287733054725,Y
6847970107151420677,Y
6847969570234436870,Y
6847969229409471749,Y
6847968191361125638,Y
6847967561594785030,Y
6847965186201079046,Y
6847942246277418245,Y
6847894027166125317,Y
6847834177358908678,Y
6847833796130196742,Y
6847832271135706373,Y
6847802855416548613,Y
6847802422329412870,Y
6847802056623918342,Y
6847619347913952517,Y
6847618655514152198,Y
6847618218207628549,Y
6847617667923217670,Y
6847616975724694790,Y
6847616690159684870,Y
6847598528286477574,Y
6847597220779314437,Y
6847595144678591750,Y
6847589160719633669,Y
6847583550800268550,Y
6847572645848911110,Y
6847569957941742853,Y
6847241939641847045,Y
6847233988801596677,Y
6847225257611316485,Y
6847214496893766918,Y
6847214181536599302,Y
6847213829798038790,Y
6847212926428892421,Y
6847212331135487237,Y
6847211866754796805,Y
6847211025922657541,Y
6847210570240888069,Y
6847210004718685446,Y
6847209383743491333,Y
6847208502058929414,Y
6847208129197788421,Y
6847207277418548485,Y
6847190521308351750,Y
6847183021670419718,Y
6847173247327423750,Y
6847132342260092165,Y
6847131075416837381,Y
6847126884774448389,Y
6847122527253269766,Y
6847091284520242438,Y
6847089938777787653,Y
6847087477975518470,Y
6847075950459358470,Y
6847072212718030085,Y
6847065839527644421,Y
6846917336667131142,Y
6846899303856786693,Y
6846890760600620293,Y
6846853160686882053,Y
6846850841761090821,Y
6846849831953091845,Y
6846848011390209285,Y
6846832130945846533,Y
6846718233844649221,Y
6846717698936687877,Y
6846716925809102085,Y
6846702670540000517,Y
6846694455949446405,Y
6846499238780734726,Y
6846477552194800901,Y
6846476083852840198,Y
6846474165780892934,Y
6846470727508561158,Y
6846104160694258950,Y
6846062395714981125,Y
6846056513166003462,Y
6844980944269561093,Y
6844904304852208902,Y
6844858654886251782,Y
6844841198230752518,Y
6844840745266957573,Y
6844839917093260549,Y
6844478930682973446,Y
6844478221103205637,Y
6844477692335639813,Y
6844476244277480710,Y
6844476035183037701,Y
6844473562888162566,Y
6844473283258158342,Y
6844294987652287750,Y
6844294706692754693,Y
6844294560848334086,Y
6844294186150137094,Y
6844293776626765062,Y
6844293320684997894,Y
6844292938877373702,Y
6844292477336308997,Y
6844291990797028613,Y
6844291418115116294,Y
6844256281490951429,Y
6844255411617516806,Y
6844255003331349765,Y
6844250165176585478,Y
6844237831427132678,Y
6843781418452077829,Y
6843781166143786246,Y
6843779443811454214,Y
6843777732892052742,Y
6843774525776104710,Y
6843772784015887622,Y
6843752906873769222,Y
6843752769065716998,Y
6843749887767612677,Y
6843743330728201477,Y
6843741962500099334,Y
6843741201120759045,Y
6843733335571844357,Y
6843732732233698565,Y
6843732222466362630,Y
6843731599306050821,Y
6843731092130811141,Y
6843730559991074053,Y
6843722957433343237,Y
6843698373728488710,Y
6843696714914925830,Y
6843694969178328326,Y
6843540151075917062,Y
6842013661905620230,Y
6841547777332268294,Y
6840908840502906118,Y
6840908344446782726,Y
6840886919627279621,Y
6840865783447440646,Y
6840864932838378757,Y
6840863948259036421,Y
6840863317112671493,Y
6840857554101259525,Y
6840856593203006725,Y
6840841684524223750,Y
6840838429551512837,Y
6840838061899730181,Y
6840837204336463109,Y
6840836500347833605,Y
6840833626993675526,Y
6840833125031873798,Y
6840802108904656134,Y
6840801267430804741,Y
6840800455082233093,Y
6840799649327090949,Y
6840798740752764166,Y
6840747428468083973,Y
6840744511610555654,Y
6840743693574556933,Y
6840743161946590469,Y
6840742119204736262,Y
6840558855001312517,Y
6836860172397186310,Y
6836405074760158469,Y
6836404726486027526,Y
6836404266857532677,Y
6836403663913667846,Y
6836402810049891589,Y
6836402432184995078,Y
6836402165238566149,Y
6836401723402161413,Y
