pid,saved
6853541777467559174,Y
6853497948555234565,Y
6853496016281292037,Y
6853409918490348805,Y
6853394028185029893,Y
6853233606576360709,Y
6853211135512972549,Y
6853205446405262597,Y
6853198096596274438,Y
6853194082110475525,Y
6853192461150539013,Y
6853183298294779141,Y
6853133794959052037,Y
6852982929841327365,Y
6852574742260485382,Y
6852401620211223814,Y
6852366082133462278,Y
6852353023084219654,Y
6852343197935455494,Y
6852337698099809541,Y
6852245596040940806,Y
6851912132733242630,Y
6851895833084857605,Y
6851891313378397446,Y
6851877984505236741,Y
6851877384845561093,Y
6851708350040755461,Y
6851704995671182597,Y
6851702921462074630,Y
6851694655285792005,Y
6851692903614450949,Y
6851615971384298758,Y
6851575081748024582,Y
6851571563121200390,Y
6851500557618793733,Y
6851289011206491398,Y
6851273889104907526,Y
6851270945995345158,Y
6851103325836889349,Y
6850958017463176454,Y
6850937648807234822,Y
6850889529453300998,Y
6850883853163187462,Y
6850867961478057221,Y
6850861559158410502,Y
6850858910253976837,Y
6850853924094692614,Y
6850851901056027909,Y
6850730481403661573,Y
6850727792355609862,Y
6850621829820812550,Y
6850620525463489798,Y
6850610732489346309,Y
6850604129388219654,Y
6850598258054548741,Y
6850446733252627717,Y
6850440059972259077,Y
6850439318620687621,Y
6850420945744710918,Y
6850218647466593541,Y
6850213970356342022,Y
6850202495914888454,Y
6850192466210000133,Y
6850118298487540997,Y
6849807640780983557,Y
6849802803074960645,Y
6849765510335286533,Y
6849037880027925766,Y
6849013749982956805,Y
6848924777034304773,Y
6848924200976010502,Y
6848923313473883398,Y
6848705299717606661,Y
6848393702621203717,Y
6848139405446728965,Y
6847940743181487366,Y
6847840229722787078,Y
6847834378018606341,Y
6847445818580978949,Y
6847123915630841094,Y
6847060873672936709,Y
6847048501285686533,Y
6847029528166993158,Y
6846849013703003397,Y
6846839535356185862,Y
6846812317263465734,Y
6846719625812643078,Y
6846716434827988230,Y
6846460729239817478,Y
6846460270202686726,Y
6846375054993788166,Y
6846374834109205766,Y
6846354854059773189,Y
6846354634840263942,Y
6846346965207321861,Y
6846141258944007430,Y
6846111424503090438,Y
6846076188587232518,Y
6846072212735167749,Y
6846051821014748421,Y
6845994765004147973,Y
6845960996805299462,Y
6845761772155047173,Y
6845719426667449606,Y
6845690728119586054,Y
6845601177544002821,Y
6845591797339540741,Y
6845584718210026757,Y
6845583029461617926,Y
6845580011617979654,Y
6845557863293766918,Y
6845378898998381830,Y
6845375012988390661,Y
6845340879524252933,Y
6845338752643091718,Y
6845337824741412102,Y
6845280451439906053,Y
6845237028813098245,Y
6845211425422527750,Y
6844996777481932037,Y
6844985560214342918,Y
6844985136505736453,Y
6844984725304528134,Y
6844979517761522950,Y
6844970122109553926,Y
6844966820781313285,Y
6844951607059172614,Y
6844626728023870725,Y
6844625418184625414,Y
6844623157974945030,Y
6844620363079388422,Y
6844616804044705029,Y
6844611920125889797,Y
6844575094161919237,Y
6844566315605298438,Y
6844245169039084805,Y
6844240129477840133,Y
6844230943738203397,Y
6844067166245965062,Y
6843890668310383878,Y
6843889198693387525,Y
6843832971410099461,Y
6843791842987855109,Y
6843791106795179269,Y
6843789562548931846,Y
6843749862010375429,Y
6843706346177596678,Y
6843689817415486726,Y
6843530802324589830,Y
6843527547301530885,Y
6843526287525530885,Y
6843525669733862661,Y
6843522679341894918,Y
6843477719771139334,Y
6843417128742341894,Y
6843403051986963718,Y
6843198657202818309,Y
6843181484870765829,Y
6843177988205317382,Y
6843058950485626117,Y
6843031721970011398,Y
6842980499292556549,Y
6842957947492961541,Y
6842443260468808965,Y
6842372479319575813,Y
6842360253619768581,Y
6842359455313579269,Y
6842341272166894853,Y
6842196341360217350,Y
6842195903244160261,Y
6841937393843522821,Y
6841686002893868294,Y
6841683438550961413,Y
6841677836756045062,Y
6841637691025657094,Y
6841302975735008518,Y
6841299274215525637,Y
6841293932119346438,Y
6841282018253245702,Y
6841176238929857797,Y
6840926991307328773,Y
6840909719935241478,Y
6840906875920223494,Y
6840404646431968517,Y
6840402296044539141,Y
6840400021796424966,Y
6840375505846275334,Y
6840184945244228869,Y
6840050490269617413,Y
6840013654725790982,Y
6839999982108429573,Y
6839988881778068742,Y
6839981906000481542,Y
6839979780222291205,Y
6839978685701901574,Y
6839797359111720197,Y
6839795323234209029,Y
6839794610655612165,Y
6839794357432831237,Y
6839793615410089222,Y
6839418508582112518,Y
6839409104557985029,Y
6839399571911740678,Y
6839023208826490118,Y
6838577113239407877,Y
6838483542243118342,Y
6838308079470136582,Y
6838297861088709893,Y
6838286488426368261,Y
6838231989406027013,Y
6838178146143964421,Y
6838158710829780229,Y
6837957109032750341,Y
6837950965556038918,Y
6837946397858237701,Y
6837944549000629509,Y
6837940065004440838,Y
6837935339349331205,Y
6837928034482343174,Y
6837924367284833541,Y
6837918368800967942,Y
6837914677499022597,Y
6837912700845034757,Y
6837827156614122758,Y
6837557393304407301,Y
6837550963591580934,Y
6837550229416332549,Y
6837428172900912390,Y
6837334827209903366,Y
6837330008348855557,Y
6837320274229087493,Y
6837317505241910534,Y
6837218101336067334,Y
6837217462459583749,Y
6837214476106747142,Y
6837189942892956934,Y
6837186497033047302,Y
6837185735674645766,Y
6837180807929482502,Y
6837162690289372422,Y
6837120174655638789,Y
6837093955104984326,Y
6837088149794049285,Y
6837086148708322565,Y
6837075039683185925,Y
6837069173919583494,Y
6837056090786499845,Y
6837051569511484677,Y
6836847690467298565,Y
6836838859905568006,Y
6836837988522069254,Y
6836828462171442438,Y
6836824018981506310,Y
6836819225110236422,Y
6836809025162677509,Y
6836785152664849670,Y
6836784404593970438,Y
6836708301741329670,Y
6836679861680000262,Y
6836675719104351493,Y
6836654525584116998,Y
6836633584787279109,Y
6836630939393592582,Y
6836630088608451846,Y
6836484081128180998,Y
6836482612777864453,Y
6836476907588996357,Y
6836475029220314373,Y
6836474508031921413,Y
6836473766978145541,Y
6836473446495440133,Y
6836468607040457989,Y
6836415727218543877,Y
6836397073961716997,Y
6836378610144677125,Y
6836363610864749830,Y
6836350761136360710,Y
6836348333976505605,Y
6836316729044405510,Y
6836292376789650693,Y
6836290797998984453,Y
6836285827643886854,Y
6836116086488861958,Y
6836115634678418694,Y
6836114998385757446,Y
6836107547645152518,Y
6836105631397727493,Y
6836101685346127109,Y
6836099121749740805,Y
6836098771114380549,Y
6836091388073938182,Y
6836086292342721797,Y
6836085921729826053,Y
6836084843164519686,Y
6836083502815907078,Y
6836072269169708293,Y
6836071686069079302,Y
6836071063462415621,Y
6836054071791684869,Y
6836053336215555333,Y
6836052923936492805,Y
6836046523147619590,Y
6836012527697005830,Y
6836011297897794822,Y
6836010682526240005,Y
6836009789567569157,Y
6836002058361916677,Y
6836000027169524997,Y
6835981276684504326,Y
6835955737223548166,Y
6835709695206903045,Y
6835702838950153478,Y
6835700179308432646,Y
6835696497644883205,Y
6835690647857548549,Y
6835630269886680326,Y
6835624118138801414,Y
6835608385329581317,Y
6835605456455486725,Y
6835602456949443845,Y
6835601291964583173,Y
6835595886169427205,Y
6835593642992880902,Y
6835588066170719493,Y
6835585591577496837,Y
6835583873229851910,Y
6835578693000170758,Y
6835569792523521285,Y
6835557136366390533,Y
6835551553689095430,Y
6835373186876460294,Y
6835371853071289605,Y
6835369040668675334,Y
6835367829156498694,Y
6835292761135123717,Y
6835291668963511558,Y
6835288519863291141,Y
6835280520650280198,Y
6835276669444541701,Y
6835274532161391878,Y
6835243541367672069,Y
6835239738237111558,Y
6835218256455011590,Y
6834977238832647429,Y
6834970476373101829,Y
6834969595250593030,Y
6834963522317733125,Y
6834949637418339590,Y
6834947364730572038,Y
6834944374355463429,Y
6834943871017995525,Y
6834579301938121989,Y
6834576331338960134,Y
6834573724998552837,Y
6834571900929281286,Y
6834569801281621253,Y
6834569487338048774,Y
6834567510822505734,Y
6834562776531225862,Y
6834558056932691205,Y
6834556412933328133,Y
6834515343554268421,Y
6834511578113527046,Y
6834501880387833094,Y
6834500605675949317,Y
6834491875777400069,Y
6834488142792264966,Y
6834479968253152517,Y
6834475473339256070,Y
6834460189769354502,Y
6834456392301137158,Y
6834451415306374405,Y
6834443900594195718,Y
6834388504470932742,Y
6834243009018662150,Y
6834240126395092229,Y
6834232784291106054,Y
6834225823009017093,Y
6834224227709668613,Y
6834223007876107526,Y
6834214801313516805,Y
6834173094798576901,Y
6834095606462500102,Y
6834091555075280133,Y
6834079974161403142,Y
6834071350991179014,Y
6834068338436623621,Y
6834065302628748550,Y
6834062087245794566,Y
6834049120160779526,Y
6833901105315876102,Y
6833894200145235206,Y
6833893167088028934,Y
6833868847993457926,Y
6833867905692732678,Y
6833863470098746629,Y
6833855958159068422,Y
6833693889065520390,Y
6833336679240043782,Y
6833122107161873670,Y
6833084051721604358,Y
6833081962257763590,Y
6833080940990827781,Y
6833080740951903494,Y
6833078940974746886,Y
6833078216710835462,Y
6833076698041355525,Y
6833064518697110790,Y
6832914408943947014,Y
6832911440471493893,Y
6832820150018804998,Y
6832819807490985222,Y
6832819074968423686,Y
6832818050593541382,Y
6832802998406663429,Y
6832801883174767878,Y
6832799474004348166,Y
6832796412388920582,Y
6832794584620322053,Y
6832788702033366277,Y
6832778727823379717,Y
6832739142435147014,Y
6832660413755165957,Y
6832594239461854469,Y
6832397873456499974,Y
6832396266232728837,Y
6832323063007153414,Y
6832321190263147782,Y
6832317030557830405,Y
6832316782091439366,Y
6832315183591935237,Y
6832283275302554886,Y
6832250586939854085,Y
6832242390443642118,Y
6832241454287523078,Y
6832239915086974213,Y
6832224750471810309,Y
6832015897281006853,Y
6832010556912831750,Y
6831931018824436997,Y
6831926441400159493,Y
6831853774751993093,Y
6831852129917897989,Y
6831796487089966342,Y
6831655116152638725,Y
6831549158378261766,Y
6831255900951514374,Y
6831196407974628613,Y
6831194399058234629,Y
6831145437311896838,Y
6831143751973391622,Y
6831143362041498885,Y
6831118795474504966,Y
6831093277370993925,Y
6830874848424643845,Y
6830862747136249093,Y
6830857349184474374,Y
6830801749037632774,Y
6830785739312155910,Y
6830782287001505030,Y
6830720413857811717,Y
6830415402108062982,Y
6830390760584645893,Y
6830141384733773061,Y
6830057269628112134,Y
6830053723834682629,Y
6830036052162415878,Y
6829986865353886982,Y
6829981506245610757,Y
6829980185710890245,Y
6829832756852296966,Y
6829800007068159237,Y
6829723505018277126,Y
6829695736565812486,Y
6829642316366499077,Y
6829606223965326597,Y
6829601557453999366,Y
6829417277419572486,Y
6829401115914685702,Y
6829393985094569221,Y
6829384290661420294,Y
6829382039238610181,Y
6829370191978220805,Y
6829344473818877189,Y
6829340658944199942,Y
6829235475169987845,Y
6829047118779469061,Y
6829046334004219142,Y
6829036104742751494,Y
6829027392665718021,Y
6829024815358250246,Y
6828990784541396230,Y
6828983937742785798,Y
6828894275061779717,Y
6828891186804034822,Y
6828890800600976646,Y
6828886907573849349,Y
6828856394532326661,Y
6828698746579111174,Y
6828692906136718597,Y
6828691493579001094,Y
6828680839870663941,Y
6828677047154494726,Y
6828673341541338374,Y
6828672108223024390,Y
6828664529975561478,Y
6828661952370183429,Y
6828601773272403205,Y
6828537162007465222,Y
6828490007414607110,Y
6828483346436312325,Y
6828474044774501638,Y
6828460991337073926,Y
6828332030225435910,Y
6828330307268119813,Y
6828329905411984645,Y
6828329562884148485,Y
6828328621149637894,Y
6828323218726718726,Y
6828321393109732613,Y
6828319543207791878,Y
6828318630669962501,Y
6828314574547209478,Y
6828313324439031045,Y
6828312223039933701,Y
6828306404542139654,Y
6828303853037964550,Y
6828301235238571270,Y
6828292935977602309,Y
6828275712093375750,Y
6827931033313299717,Y
6827928635001867526,Y
6827927639701916934,Y
6827926376725630213,Y
6827920651043622150,Y
6827917350918966533,Y
6827903535997291781,Y
6827902962854006022,Y
6827896566804729093,Y
6827793089797688581,Y
6827778828195155206,Y
6827757223586974981,Y
6827749116961901830,Y
6827621265637936389,Y
6827618970527468805,Y
6827617421776440582,Y
6827611599268875526,Y
6827608592707800326,Y
6827608004687449349,Y
6827602623235951878,Y
6827597169520856325,Y
6827594338239892741,Y
6827591660277402886,Y
6827576515136392454,Y
6827564846037404934,Y
6827561593639931141,Y
6827560692086770949,Y
6827559291545832709,Y
6827554262977989893,Y
6827526023412731142,Y
6827523843054210310,Y
6827519662335495429,Y
6827499974243273990,Y
6827223250041310470,Y
6827218564672425222,Y
6827217332016876805,Y
6827216311769156869,Y
6827215500125441286,Y
6827176546319469830,Y
6827173274162580742,Y
6827171689097628933,Y
6827170059304258822,Y
6827165314237680901,Y
6827157683523702022,Y
6827157506481999110,Y
6827155270058151173,Y
6827095832077061381,Y
6826730510920846597,Y
6826718992367897862,Y
6826717676866522373,Y
6826705587288460549,Y
6826689107004116230,Y
6826675205260299525,Y
