pid,saved
6849678951393021190,Y
6849676341458078981,Y
6849676037828152581,Y
6849675858345544966,Y
6849669612301208838,Y
6849642497270992134,Y
6849408423063309573,Y
6849407968086215942,Y
6849370743122218245,Y
6849370556937129221,Y
6849340594175675653,Y
6849332968696073478,Y
6848962726866488582,Y
6848962631714245893,Y
6848962418882694405,Y
6848962134425079045,Y
6848961744283487493,Y
6848650299024968966,Y
6848650094103792902,Y
6848649927745162501,Y
6848649722085887237,Y
6848649457639247109,Y
6848649268673137925,Y
6848554928806333702,Y
6848232412627979525,Y
6848232087972105477,Y
6848173257523252485,Y
6847879447165684997,Y
6847824427556556037,Y
6847810785222200582,Y
6847810418497424646,Y
6847810282513894661,Y
6847810089995308293,Y
6847809807190134022,Y
6847610213122526469,Y
6847556462022069510,Y
6847541973306445061,Y
6847528327180340485,Y
6847500813510659333,Y
6847481920788401414,Y
6847481711027096837,Y
6847481509927062790,Y
6847449585648995589,Y
6847449342865837317,Y
6847416104319470853,Y
6847415604379405573,Y
6847415105349586182,Y
6847227297867582725,Y
6847193461045644550,Y
6847193282758413573,Y
6847178829702778118,Y
6847105482096659717,Y
6847105113778146565,Y
6847104755135679750,Y
6847104552039320838,Y
6847103850692775173,Y
6846006162425416965,Y
6846005285182508293,Y
6846004991702895877,Y
6846004690640047366,Y
6846004519050972421,Y
6846003580671921414,Y
6844947121058221318,Y
6844946963624971526,Y
6844527973706501382,Y
6844527454833380613,Y
6844526928007908613,Y
6844526743336848645,Y
6844526258156621062,Y
6844526096247966982,Y
6844525937669803269,Y
6843420355906882821,Y
6843416995296300293,Y
6843416735131929862,Y
6843416419246345477,Y
6843416251918814469,Y
6843415921575333126,Y
6842649765251927301,Y
6842648520231619845,Y
6842648196783688965,Y
6842647968693112069,Y
6842647777294503174,Y
6841958984946109702,Y
6841958804909837573,Y
6841958606364052742,Y
6841958423282666758,Y
6841958257397943557,Y
6841957947619233029,Y
6841957753334926597,Y
6841236270887308549,Y
6841195624524778758,Y
6840489757953297670,Y
6840489530739395845,Y
6840489267710528773,Y
6840488956057029893,Y
6840488562656316678,Y
6840488343575252230,Y
6840488114671144198,Y
6840037595142016261,Y
6838946628783639814,Y
6838946251367648518,Y
6838945854729080069,Y
6838945684197100805,Y
6838945250904411398,Y
6838945068603215109,Y
6838944784481111301,Y
6837848080453209349,Y
6837847799023832325,Y
6837846690632879366,Y
6837846532121808134,Y
6837846258661494021,Y
6837845798890360070,Y
6836798258333928710,Y
6836798036090359046,Y
6836797752018603270,Y
6836797524464995589,Y
6836797161380777222,Y
6836796310176140549,Y
6836055816320093445,Y
6836055520521063685,Y
6836055303063211270,Y
6835997722366020869,Y
6835991811472018694,Y
6835988969113603334,Y
6835988315976568070,Y
6835987944382205190,Y
6835295825388784901,Y
6835295348714491142,Y
6835294331935444230,Y
6835293993476345093,Y
6835292855938977030,Y
6835292294078418181,Y
6835291641977294085,Y
6834500944726658310,Y
6834500687733230853,Y
6834500453514972422,Y
6834500102682397958,Y
6834499859416894726,Y
6833402123049340165,Y
6833401858283834629,Y
6833401572496575750,Y
6833401305499815174,Y
6833400716275600646,Y
6833400403200101637,Y
6832284589101157637,Y
6832284077433883909,Y
6832283909267393798,Y
6832283525740350725,Y
6832256480075402501,Y
6832236111700430086,Y
6831998361244060934,Y
6831998097581788422,Y
6831997943701196038,Y
6831997689400511749,Y
6831997560534666502,Y
6831991171011677445,Y
6831989333034077446,Y
6831986245380410629,Y
6831627025506389254,Y
6831626754046594310,Y
6831626597762649350,Y
6831626376752254214,Y
6831626180488154374,Y
6831625991048236293,Y
6831624867410922758,Y
6831621356304551173,Y
6831620974312443141,Y
6831609124476833029,Y
6831147074696809734,Y
6831146308309454086,Y
6831145899436100869,Y
6831145574566300934,Y
6830407452677180678,Y
6830402728875871493,Y
6830402398746381573,Y
6830401712604417286,Y
6830400881213705478,Y
6830400313690803461,Y
6830399949629345029,Y
6829663561808186630,Y
6829663243993107718,Y
6829662953453735173,Y
6829662700239457542,Y
6829662231681092870,Y
6829662013237611781,Y
6829661782416706821,Y
6828561397195017477,Y
6828555400216874246,Y
6828555181039406341,Y
6828554948058402054,Y
6828554687613013253,Y
6828554347006233862,Y
6827815296930237702,Y
6827814291102649605,Y
6827813804017995013,Y
6827452063795039493,Y
6827451820164582661,Y
6827451591549783302,Y
6827451316982385926,Y
6827451035582237958,Y
6826742737157524741,Y
6826742440691535109,Y
6826742164425313542,Y
6826703958803746054,Y
6826702832373173509,Y
6826702323574656261,Y
6825974399645027590,Y
6825974266945637638,Y
6825974011374144774,Y
6825973856851758342,Y
6825973690606554374,Y
6825973534376905989,Y
6825973269292748038,Y
6825970532287008006,Y
6825285714435951877,Y
6825284992629869830,Y
6825284602039389445,Y
6825284221838298374,Y
6825283394910375173,Y
6825231190807547141,Y
6825229857023069445,Y
