pid,saved
6853230677542931717,Y
6853184089097293062,Y
6853160712630488325,Y
6852858878602841349,Y
6852857908569459974,Y
6852827715117026565,Y
6852824787601886469,Y
6852767911740804357,Y
6852714307323481350,Y
6852698670983351558,Y
6852647126820785414,Y
6852634906552519941,Y
6852364029634120966,Y
6852071340636212485,Y
6851928994896416006,Y
6851919102500441350,Y
6851845589131480325,Y
6851843769549982981,Y
6851597185067355397,Y
6851596561307159813,Y
6851595661259902214,Y
6851350035704171782,Y
6851349094388993286,Y
6851347923628805381,Y
6851347037204581638,Y
6851345367812951302,Y
6851343453939371270,Y
6851311016500858117,Y
6851308858242010373,Y
6851307256483450117,Y
6851165254064327942,Y
6850982403226242309,Y
6850974333020540166,Y
6850954290475928837,Y
6850948826639928582,Y
6850931727716732166,Y
6850562504439975174,Y
6850562080043568390,Y
6850561775121878277,Y
6850521161713929478,Y
6850520586955885829,Y
6850520044753915141,Y
6850481482016820485,Y
6850086414671973637,Y
6850044803686714629,Y
6849852025530748165,Y
6849851628783275269,Y
6849820923952991494,Y
6849798388599344390,Y
6849780479894359302,Y
6849691823330446597,Y
6849689655365930246,Y
6849689465208753413,Y
6849636110641958150,Y
6849606773976861958,Y
6849274543945633030,Y
6849262394095471877,Y
6849211965106146566,Y
6848922825449835782,Y
6848913768303414534,Y
6848876931144879365,Y
6848871094661795078,Y
6848868020895583493,Y
6848742278404738309,Y
6848694083691580678,Y
6848592746874277125,Y
6848505742568295685,Y
6848494931527421189,Y
6848489357804948741,Y
6848230592073583877,Y
6848207092164168966,Y
6848205071763737861,Y
6848075565111594246,Y
6848063379182062853,Y
6848060482918567173,Y
6847768862037970182,Y
6847768276475333894,Y
6847767487866588421,Y
6847416502870658309,Y
6847416255742348549,Y
6847415495650577670,Y
6847081724841676038,Y
6847081554469063941,Y
6847081260444142853,Y
6846892457519533317,Y
6846892075976379653,Y
6846891453054979333,Y
6846666374945737989,Y
6846659864362487046,Y
6846657773665586438,Y
6846296894759603461,Y
6846287766721006854,Y
6846286519225961733,Y
6846276617367473414,Y
6846267691368549638,Y
6846254871578955013,Y
6846005273790909701,Y
6846005133822725381,Y
6846003641493605637,Y
6845928285373877509,Y
6845924914063559942,Y
6845924302693420293,Y
6845923863591701766,Y
6845923535244872965,Y
6845880612159556870,Y
6845567488210619653,Y
6845564156398013702,Y
6845558365230304517,Y
6845366955973594374,Y
6845366736028552454,Y
6845365992701398278,Y
6845138613387267333,Y
6845137612378770693,Y
6845134913906281734,Y
6844346599494126853,Y
6844341656389471494,Y
6844339150838123781,Y
6843913164346707205,Y
6843912974411844869,Y
6843912692529466630,Y
6843679665878551814,Y
6843678805417004293,Y
6843678045174369541,Y
6843670070267268357,Y
6843664522583018758,Y
6843662156190338310,Y
6843569478605786374,Y
6843566246991072517,Y
6843564885712964869,Y
6843523021462899973,Y
6843518906754141446,Y
6843518313159511301,Y
6843188560636480774,Y
6843183639031811333,Y
6843179736466754822,Y
6842878972875885829,Y
6842873728410422534,Y
6842872788655590662,Y
6842865559613361413,Y
6842861998796016901,Y
6842860305731636485,Y
6842581992484244741,Y
6842175501860097286,Y
6841789376654036230,Y
6841467973828463877,Y
6841463471830289669,Y
6841459425908133126,Y
6841018492007877893,Y
6841010371420065029,Y
6841001345592429830,Y
6840711241757936901,Y
6840709466661408005,Y
6840708800643681541,Y
6840705572111699205,Y
6840517290425879813,Y
6840245665667239173,Y
6840116066291649797,Y
6840090714563562758,Y
6840089258280127750,Y
6840086701939936518,Y
6840079142814371077,Y
6840074963534351621,Y
6840009896369458437,Y
6839888176941649157,Y
6839873237422247174,Y
6839766130840620293,Y
6839419280191278342,Y
6839310754252999942,Y
6839294975868407045,Y
6839293529836080390,Y
6839290763017211141,Y
6839287785124400390,Y
6839283136853970182,Y
6839280060726349062,Y
6839279326756654341,Y
6839272372885835013,Y
6839126825063533830,Y
6838903643425590534,Y
6838859352519003398,Y
6838856723139136774,Y
6838709726616800518,Y
6838708090058099973,Y
6838545904736292101,Y
6838545558395800837,Y
6838545205667335429,Y
6838405822700064006,Y
6838405478045846789,Y
6838405152601378054,Y
6838047940288793862,Y
6838030455002942726,Y
6838022301850651910,Y
6837979727425244422,Y
6837978866032643333,Y
6837978373369728261,Y
6837832441005100294,Y
6837829449023524102,Y
6837829085482241286,Y
6837763701995605254,Y
6837758309739597061,Y
6837753818801769734,Y
6837749877888306438,Y
6837747815020547334,Y
6837746706101046533,Y
6837745877579271429,Y
6837745564310883590,Y
6837744755066113285,Y
6837743493775953157,Y
6837741442350271749,Y
6837737999178992901,Y
6837695489161415941,Y
6837692693439614214,Y
6837620228088761605,Y
6837600638478650630,Y
6837416281281514757,Y
6837407905961086214,Y
6837406007774235910,Y
6837403454655171845,Y
6837399635766627590,Y
6837399344245722373,Y
6837396321826065669,Y
6837393995363110150,Y
6837365347562130694,Y
6837353121543490822,Y
6837341771437968646,Y
6837330024488619270,Y
6836580700691467525,Y
6836576945187163397,Y
6836548614374935814,Y
6836542567505612037,Y
6836521170217602310,Y
6836519740819770630,Y
6836454797286051078,Y
6835891975556713733,Y
6835613421560499462,Y
6834929735345147141,Y
6834308708340600069,Y
6834308408523410694,Y
6834291400905886982,Y
6834080003974581509,Y
6834078021096377605,Y
6834076088981835014,Y
6834075795485461765,Y
6834075514664144134,Y
6834063534846921990,Y
6833991213209701637,Y
6833802712958733573,Y
6833801831576112389,Y
6833582424992025861,Y
6833580283170655494,Y
6833578749926132998,Y
6833575289994382598,Y
6833568717935348998,Y
6833566042057346309,Y
6833316710183996677,Y
6833289843456412934,Y
6833289404732296454,Y
6832883513432313093,Y
6832881995522018565,Y
6832790352731065606,Y
6832789846046559493,Y
6832774046019636485,Y
6832751892796329221,Y
6832747771968097541,Y
6832745352072858886,Y
6832740432527576325,Y
6832734216128597253,Y
6832731622719114501,Y
6832634269165243654,Y
6831740507740310790,Y
6830271480077552902,Y
6829560857412881669,Y
6829557425100590342,Y
6829555296424250630,Y
6829170023077137670,Y
6829136889996430598,Y
6829128116200377605,Y
6829079198578085126,Y
6828514155918609669,Y
6828501389501566213,Y
6827979247517191429,Y
6826882926391676166,Y
6826854900425624838,Y
6826832606336650502,Y
6826827001320557829,Y
6826826355888491782,Y
6826826075708869893,Y
6826825362178067718,Y
6826824719556234502,Y
6826823850840427781,Y
6826603180218993926,Y
6826602825561181445,Y
6826514386807426310,Y
6826511064604118278,Y
6826242500852845830,Y
6826239661200002309,Y
6826232901093362949,Y
6826228378312494341,Y
6826226936126262533,Y
6826221716876905734,Y
6826221164017274118,Y
6826220244617497862,Y
6826185261173443845,Y
6826152196242017542,Y
6826075079462472966,Y
6826069409417678085,Y
6826063586708819205,Y
6825849999490845958,Y
6825847349168966918,Y
6825844872717683973,Y
6825836857662672134,Y
6825829754239814918,Y
6825824621384781062,Y
6825819451691175174,Y
6825815871823400198,Y
6825290291340201222,Y
6824747059481005317,Y
6824695864557178118,Y
6824692767894097158,Y
6824326253487607045,Y
6824287181834669317,Y
6824285886151265542,Y
6824282432095800582,Y
6824227427334524166,Y
6823797073872178438,Y
6823795127023078662,Y
6823794140476673286,Y
6823744049183231237,Y
6822782121954839814,Y
6822781433191484677,Y
6822780291938143494,Y
6821998425404411141,Y
6821692651771907333,Y
6821632510892477701,Y
6821607637566688517,Y
6821590385341549829,Y
6821588470402780421,Y
6819283757795773701,Y
6818896940151983365,Y
6818895752551468294,Y
6818855568908782853,Y
6818854846414834950,Y
6818852926623173893,Y
6818845235750112517,Y
6818843880981531910,Y
6818822424042228997,Y
6818650285553077510,Y
6818635320297262341,Y
6818629029038492934,Y
6818519181768609030,Y
6818515056427388165,Y
6818500038721817862,Y
6817747552515919110,Y
6817745757257469189,Y
6817231677417409797,Y
6817181474295434502,Y
6816034892099439878,Y
6815541402672368901,Y
6815524648462077190,Y
6814788195646033157,Y
6814782000516320517,Y
6814033214433250565,Y
6813994682675105030,Y
6813982208248925446,Y
6813555968106925318,Y
6813547386456018181,Y
6813541878575664390,Y
6812385209015667973,Y
6811727728241429766,Y
6811722666974727429,Y
6810833853884796166,Y
6810138694045994246,Y
6810086822207655173,Y
6809736135233867014,Y
6808019160904240390,Y
6804510751290576133,Y
6803711335323520262,Y
6803690030968687878,Y
6803685248577096965,Y
6803663421167439109,Y
6803659926116896005,Y
6803659258085887238,Y
6798704326685609221,Y
6796156132416097541,Y
6853427626229435653,Y
6853431352977657094,Y
6853434738355473670,Y
6853437843092622598,Y
6853488356408560901,Y
6853501192622869766,Y
6853503260171455750,Y
6853504734230367493,Y
6853505707111648517,Y
6853506489135549701,Y
6853506956469030149,Y
6853508006806605061,Y
6853514326674902277,Y
6853683850460007685,Y
6853683734592359685,Y
6853683562303065349,Y
6853829255353142533,Y
6853908281933516038,Y
6853909866592128261,Y
6853911986149821702,Y
6853918044608154885,Y
6853917738008694022,Y
6853918621161311494,Y
6853971207872728325,Y
6854316058292014342,Y
6854328428263492869,Y
6854339601272769798,Y
6854527774036692229,Y
6854619391267458310,Y
6854621519969144069,Y
6854623324157283590,Y
6854631474688314629,Y
6854634475758947590,Y
6854636120056073477,Y
6854637053154430213,Y
6854647958932049158,Y
6854661973645233413,Y
6854672044303387909,Y
6854678232193568005,Y
6854710338147978501,Y
6854713697919683845,Y
6854890953837120773,Y
6854893948389969157,Y
6854892898975091974,Y
6854945714963811589,Y
6854969322423471366,Y
6855012434760011013,Y
6855049572130098437,Y
6855069684182568198,Y
6855074150319525126,Y
6855086256230092037,Y
6855102325221084421,Y
6855103521709198597,Y
6855104011675225349,Y
6855108342600305925,Y
6855113579016899846,Y
6855290479622294790,Y
6855296481197427974,Y
6855342967054470405,Y
6855485175686581510,Y
6855780595990088966,Y
6855784619753721094,Y
6855792805281811718,Y
6855817225681521925,Y
6855819198455663877,Y
6855825884637596933,Y
6855870286324043013,Y
6855872743053872389,Y
6855876424021200134,Y
6856014870005976326,Y
6856214689236471045,Y
6856216198313561350,Y
6856217206821260550,Y
6856218272270994693,Y
6856222249859484933,Y
6856229573391060230,Y
6856502998953168133,Y
6856955765907819782,Y
6856957512189627654,Y
6856988321239829766,Y
6857350201196154118,Y
6857351812995992838,Y
6857354306237058309,Y
6857355215713111301,Y
6857356559501053190,Y
6857358401866026246,Y
6857362064596339973,Y
6857365027389705477,Y
6857374880598428934,Y
6857377051511459078,Y
6857554700904959237,Y
6857624141814566150,Y
6857693012198264070,Y
6857708312960552198,Y
6857709906858904838,Y
6857730095495253253,Y
6857738795723312390,Y
6857741884467514629,Y
6857746485237320966,Y
6857953027874229510,Y
6857954430684515589,Y
6858007844084616453,Y
